model,roc_auc_mean,roc_auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,precision_at_3_mean,precision_at_3_std,rank_ic_mean,rank_ic_std,portfolio_net_return_mean_mean,portfolio_net_return_mean_std,portfolio_alpha_mean_mean,portfolio_alpha_mean_std,portfolio_sharpe_mean,portfolio_sharpe_std,portfolio_max_drawdown_mean,portfolio_max_drawdown_std,portfolio_turnover_mean_mean,portfolio_turnover_mean_std
logistic_regression,0.4635416666666667,0.10069444444444449,0.4791666666666667,0.10485881160098266,0.4791666666666667,0.10485881160098266,0.22916666666666666,0.10485881160098261,-0.03693181818181818,0.12316665175559165,0.0053685441402757,0.0,-0.0009544318056006,0.0,1.4048446803585029,0.0,-0.0779732291205987,0.0,0.71875,0.0
naive_momentum,0.4427083333333333,0.14471295822343552,0.4375,0.10485881160098266,0.4375,0.10485881160098266,0.29166666666666663,0.08333333333333329,-0.05397727272727269,0.13887057960125274,0.0039829326169113,0.0,-0.002340043328965,0.0,1.4070054931563103,0.0,-0.0581137149044876,0.0,0.3020833333333333,0.0
pennylane_qnn,0.4166666666666667,0.05242940580049132,0.4444444444444445,0.0481125224324688,0.4444444444444445,0.0481125224324688,0.22916666666666663,0.0797855923130282,-0.07348484848484846,0.16234231595061524,0.0059100555863856,0.0,-0.0004129203594907,0.0,1.6116817548729268,0.0,-0.0714332339008515,0.0,0.5520833333333333,0.0
random_forest,0.4053819444444444,0.06596460726031976,0.41666666666666663,0.09622504486493764,0.41666666666666663,0.09622504486493764,0.22916666666666663,0.14231876063832774,-0.13501898268370166,0.05708121096158083,0.0024881666280756,0.0,-0.0038348093178007,0.0,0.7401881272556602,0.0,-0.0722970602537297,0.0,0.6770833333333333,0.0
rbf_svm,0.5173611111111112,0.05823956308059782,0.5,0.0,0.5,0.0,0.3541666666666666,0.19690898442719199,0.05511363636363633,0.1436365434406239,0.0067021027318304,0.0,0.000379126785954,0.0,1.8973615004187,0.0,-0.0680914215522605,0.0,0.6354166666666666,0.0
ridge_linear,0.4618055555555556,0.09796344430323536,0.4791666666666667,0.10485881160098266,0.4791666666666667,0.10485881160098266,0.22916666666666666,0.10485881160098261,-0.04034090909090907,0.11323223594100018,0.0053685441402757,0.0,-0.0009544318056006,0.0,1.4048446803585029,0.0,-0.0779732291205987,0.0,0.71875,0.0
small_mlp,0.45312499999999994,0.09166929710030614,0.4375,0.07978559231302819,0.4375,0.07978559231302819,0.20833333333333331,0.10758287072798382,-0.06136363636363633,0.12243230546505117,0.0040118942558948,0.0,-0.0023110816899815,0.0,1.1352463984918575,0.0,-0.0753580684532189,0.0,0.7604166666666666,0.0
xgboost,0.4114583333333333,0.07460565911797835,0.4270833333333333,0.07115938031916387,0.4325,0.07504936646906095,0.20833333333333331,0.10758287072798381,-0.15641042821492887,0.04418607704000482,0.0019596281461676,0.0,-0.0043633477997087,0.0,0.6006306634361146,0.0,-0.0681575193449346,0.0,0.6979166666666666,0.0
