results_dir,feature_selection_mode,max_splits,seeds,model,rank_ic_mean,precision_at_3_mean,portfolio_net_return_mean,alpha_vs_spy_mean,turnover_mean,qnn_constant_groups,qnn_failure_rows,qnn_undefined_metric_rows,calendar_heavy_selected_features,selected_feature_rows,calendar_heavy_selected_feature_share
results,standard,4,42,logistic_regression,-0.03693181818181818,0.22916666666666666,0.005368544140275705,-0.0009544318056006749,0.71875,4,1,1,8,20,0.4
results,standard,4,42,naive_momentum,-0.05397727272727269,0.29166666666666663,0.0039829326169112875,-0.002340043328965094,0.3020833333333333,4,1,1,8,20,0.4
results,standard,4,42,pennylane_qnn,-0.07348484848484846,0.22916666666666663,0.005910055586385649,-0.0004129203594907021,0.5520833333333333,4,1,1,8,20,0.4
results,standard,4,42,random_forest,-0.13501898268370166,0.22916666666666663,0.002488166628075587,-0.003834809317800781,0.6770833333333333,4,1,1,8,20,0.4
results,standard,4,42,rbf_svm,0.05511363636363633,0.3541666666666666,0.006702102731830401,0.0003791267859540189,0.6354166666666666,4,1,1,8,20,0.4
results,standard,4,42,ridge_linear,-0.04034090909090907,0.22916666666666666,0.005368544140275705,-0.0009544318056006749,0.71875,4,1,1,8,20,0.4
results,standard,4,42,small_mlp,-0.06136363636363633,0.20833333333333331,0.004011894255894844,-0.0023110816899815315,0.7604166666666666,4,1,1,8,20,0.4
results,standard,4,42,xgboost,-0.15641042821492887,0.20833333333333331,0.0019596281461675877,-0.004363347799708763,0.6979166666666666,4,1,1,8,20,0.4
results_cross_sectional_mvp,cross_sectional_aware,4,42,logistic_regression,0.06818181818181823,0.22916666666666666,0.005936762305001437,-0.00038621364087495,0.71875,0,0,0,0,20,0.0
results_cross_sectional_mvp,cross_sectional_aware,4,42,naive_momentum,-0.05397727272727269,0.29166666666666663,0.0039829326169112875,-0.002340043328965094,0.3020833333333333,0,0,0,0,20,0.0
results_cross_sectional_mvp,cross_sectional_aware,4,42,pennylane_qnn,-0.049431818181818174,0.27083333333333326,0.005765326408407631,-0.0005576495374687439,0.65625,0,0,0,0,20,0.0
results_cross_sectional_mvp,cross_sectional_aware,4,42,random_forest,-0.038603970104090175,0.29166666666666663,0.004361109275001063,-0.0019618666708752937,0.71875,0,0,0,0,20,0.0
results_cross_sectional_mvp,cross_sectional_aware,4,42,rbf_svm,0.0653409090909091,0.29166666666666663,0.006179297592451211,-0.00014367835342518105,0.6770833333333333,0,0,0,0,20,0.0
results_cross_sectional_mvp,cross_sectional_aware,4,42,ridge_linear,0.07102272727272729,0.24999999999999997,0.0066173379329500055,0.0002943619870736125,0.6770833333333334,0,0,0,0,20,0.0
results_cross_sectional_mvp,cross_sectional_aware,4,42,small_mlp,-0.08693181818181814,0.2708333333333333,0.004707732471880737,-0.0016152434739956376,0.5520833333333333,0,0,0,0,20,0.0
results_cross_sectional_mvp,cross_sectional_aware,4,42,xgboost,-0.01753516831914298,0.3333333333333333,0.006751029143830736,0.000428053197954356,0.78125,0,0,0,0,20,0.0
