split_id,seed,selected_feature,selected_for_model,feature_selection_mode,train_mean,train_std,mean_cross_sectional_std_by_date,mean_time_series_std_by_ticker,cross_sectional_to_time_series_variance_ratio,missing_rate,is_calendar_heavy
split_00_2018-12,42,ret_1d,learned_models,standard,-0.000863498097702179,0.010764055407448172,0.0065551366608896065,0.010710572421820282,0.3745744377042185,0.0,False
split_00_2018-12,42,ret_20d,learned_models,standard,0.003091415440186244,0.035242082321554784,0.026319037658526043,0.03348474763109853,0.6177972215776363,0.0,False
split_00_2018-12,42,vol_20d,learned_models,standard,0.009803565143724775,0.003570481335725419,0.001863640808996335,0.003200407288248959,0.3390891722345565,0.0,False
split_00_2018-12,42,month_cos,learned_models,standard,-0.28431551560311746,0.6369645416915135,0.0,0.6137751509967511,0.0,0.0,True
split_00_2018-12,42,relative_strength_20d,naive_momentum,fixed_naive,-0.003329548782110273,0.02783753603309757,0.02631903765852604,0.024385048690093246,1.1649110283185116,0.0,False
split_01_2019-01,42,ret_1d,learned_models,standard,-0.0007662158191796715,0.012111952578871916,0.007119313006651912,0.012130393196464457,0.3444501817128702,0.0,False
split_01_2019-01,42,volume_ratio_20d,learned_models,standard,1.0531143153989169,0.462426514743007,0.27129759776599205,0.4653684364939654,0.3398584313003146,0.0,False
split_01_2019-01,42,weekday_cos,learned_models,standard,-0.14544850434795237,0.6721676646286285,0.0,0.662879446185242,0.0,0.0,True
split_01_2019-01,42,month_cos,learned_models,standard,-0.24102252837586471,0.6193665082845022,0.0,0.6080238826759096,0.0,0.0,True
split_01_2019-01,42,relative_strength_20d,naive_momentum,fixed_naive,-0.002272986307245093,0.030812520956763442,0.02825636624592339,0.02719957403060407,1.0792161029639469,0.0,False
split_02_2019-02,42,ret_1d,learned_models,standard,-0.0012052210002222153,0.012136116206214109,0.007161314826057757,0.012086200370945462,0.3510798898317114,0.0,False
split_02_2019-02,42,volume_ratio_20d,learned_models,standard,1.041720592676779,0.44741147083046706,0.2607035047880997,0.44826755539700314,0.33823545188061804,0.0,False
split_02_2019-02,42,weekday_cos,learned_models,standard,-0.18218467757608053,0.6661611271020931,0.0,0.6572169135611609,0.0,0.0,True
split_02_2019-02,42,month_cos,learned_models,standard,-0.16138933122332802,0.6397496156495983,0.0,0.6364276157952665,0.0,0.0,True
split_02_2019-02,42,relative_strength_20d,naive_momentum,fixed_naive,-0.0011164586756589171,0.03164478264195007,0.028939678916086484,0.028132273223401064,1.0582243811936343,0.0,False
split_03_2019-03,42,ret_1d,learned_models,standard,-0.00140097833349238,0.012346461686435778,0.007118580621005285,0.01226335117006977,0.3369523474976246,0.0,False
split_03_2019-03,42,weekday_cos,learned_models,standard,-0.1242210136321901,0.6693051091452753,0.0,0.6654305933712493,0.0,0.0,True
split_03_2019-03,42,month_sin,learned_models,standard,-0.04418243887387124,0.7278694552192642,0.0,0.6914196063810635,0.0,0.0,True
split_03_2019-03,42,month_cos,learned_models,standard,-0.06877034531318332,0.6808264153655275,0.0,0.6805676422040408,0.0,0.0,True
split_03_2019-03,42,relative_strength_20d,naive_momentum,fixed_naive,-0.0008004347424295182,0.0315259985360646,0.028985257947287398,0.0280843278727652,1.0651880118936083,0.0,False
