split_id,seed,model,n_qubits,n_layers,trainable_parameter_count,train_seconds,inference_seconds,simulation_mode,shots,shot_sensitivity_samples,shot_sensitivity_shots,shot_score_correlation,shot_mean_abs_score_diff,shot_ranking_flip_rate,epochs_ran,best_validation_loss,selected_features
split_00_2018-12,42,pennylane_qnn,4,1,13,8.433228624984622,0.12648933299351484,analytic_default_qubit,analytic,8,1024,0.9764230768327493,0.019704392510018542,0.0,4,0.7490896706984633,"ret_1d,ret_20d,vol_20d,month_cos"
split_01_2019-01,42,pennylane_qnn,4,1,13,11.353408458002377,0.12643279202166013,analytic_default_qubit,analytic,8,1024,0.8979414773262939,0.026833157952235925,0.14814814814814814,5,0.6959988364133965,"ret_1d,volume_ratio_20d,weekday_cos,month_cos"
split_02_2019-02,42,pennylane_qnn,4,1,13,10.118199499993352,0.13041283399797976,analytic_default_qubit,analytic,8,1024,-0.4807008039857763,0.02593212725375732,0.7142857142857143,4,0.698514327207299,"ret_1d,volume_ratio_20d,weekday_cos,month_cos"
split_03_2019-03,42,pennylane_qnn,4,1,13,11.036288542003604,0.1280197910091374,analytic_default_qubit,analytic,8,1024,-0.6487858482758984,0.020200730315190686,0.7692307692307693,4,0.6933426019205711,"ret_1d,weekday_cos,month_sin,month_cos"
