model,gross_return_mean,gross_return_std,net_return_mean,net_return_std,alpha_vs_spy_mean,alpha_vs_spy_std,turnover_mean,turnover_std,transaction_cost_mean,transaction_cost_std
equal_weight_sector,0.005703676605770612,0.023274437114835667,0.005688051605770612,0.02328694919420549,-0.0006349243401057562,0.0035600781310922355,0.03125000000000001,0.12500000000000003,1.5625e-05,6.25e-05
logistic_regression,0.0057279191402757,0.027160703438321564,0.005368544140275705,0.027129605910476577,-0.0009544318056006749,0.005681045910244575,0.71875,0.22541114698520387,0.0003593749999999438,0.00011270557349257968
naive_momentum,0.0041339742835779635,0.02012699653777102,0.0039829326169112875,0.020096592867876687,-0.002340043328965094,0.0097344478564913,0.3020833333333333,0.2127313555393977,0.00015104166666662501,0.00010636567776968533
pennylane_qnn,0.006186097253052313,0.026036519285885313,0.005910055586385649,0.026033199370207916,-0.0004129203594907021,0.007011025414908805,0.5520833333333333,0.3373027544330881,0.000276041666666625,0.00016865137721651803
random_forest,0.0028267082947422504,0.023899209911971184,0.002488166628075587,0.023864515103615317,-0.003834809317800781,0.00960172755327915,0.6770833333333333,0.231490740555563,0.0003385416666666125,0.0001157453702777649
rbf_svm,0.007019811065163731,0.025123158644835334,0.006702102731830401,0.02507703954188306,0.0003791267859540189,0.007079591144279778,0.6354166666666666,0.31161912887607124,0.00031770833333327503,0.00015580956443801274
ridge_linear,0.0057279191402757,0.027160703438321564,0.005368544140275705,0.027129605910476577,-0.0009544318056006749,0.005681045910244575,0.71875,0.22541114698520387,0.0003593749999999438,0.00011270557349257968
small_mlp,0.004392102589228175,0.025092074113948742,0.004011894255894844,0.02508849518211783,-0.0023110816899815315,0.006391329113539416,0.7604166666666666,0.21054382846263556,0.00038020833333327503,0.00010527191423128921
spy_benchmark,0.006322975945876368,0.025177235085234326,0.006322975945876368,0.025177235085234326,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,0.0023085864795009247,0.023201024892479584,0.0019596281461675877,0.02316228690345888,-0.004363347799708763,0.005427417302232904,0.6979166666666666,0.2127313555393977,0.00034895833333328124,0.00010636567776967918
