split_id,seed,model,rows,labeled_rows,roc_auc,balanced_accuracy,f1,precision_at_3,rank_ic,portfolio_net_return_mean,portfolio_alpha_mean,portfolio_sharpe,portfolio_max_drawdown,portfolio_turnover_mean
split_00_2018-12,42,naive_momentum,44,24,0.3819444444444444,0.3333333333333333,0.3333333333333333,0.25,-0.10454545454545455,0.003982932616911311,-0.002340043328965089,1.4070054931563105,-0.05811371490448769,0.3020833333333333
split_00_2018-12,42,logistic_regression,44,24,0.5069444444444445,0.5,0.5,0.3333333333333333,-0.10681818181818183,0.005368544140275713,-0.0009544318056006869,1.4048446803585029,-0.07797322912059879,0.71875
split_00_2018-12,42,ridge_linear,44,24,0.5069444444444445,0.5,0.5,0.3333333333333333,-0.10681818181818183,0.005368544140275713,-0.0009544318056006869,1.4048446803585029,-0.07797322912059879,0.71875
split_00_2018-12,42,random_forest,44,24,0.4305555555555556,0.3333333333333333,0.3333333333333333,0.16666666666666666,-0.18636363636363637,0.002488166628075603,-0.0038348093178007968,0.7401881272556602,-0.07229706025372973,0.6770833333333333
split_00_2018-12,42,rbf_svm,44,24,0.5416666666666667,0.5,0.5,0.49999999999999994,0.13181818181818183,0.006702102731830419,0.000379126785954019,1.8973615004186999,-0.06809142155226056,0.6354166666666666
split_00_2018-12,42,small_mlp,44,24,0.47916666666666663,0.4166666666666667,0.4166666666666667,0.16666666666666666,-0.17954545454545456,0.004011894255894851,-0.0023110816899815484,1.1352463984918575,-0.07535806845321891,0.7604166666666666
split_00_2018-12,42,xgboost,44,24,0.46875,0.4166666666666667,0.4166666666666667,0.3333333333333333,-0.11661610350366741,0.001959628146167601,-0.004363347799708798,0.6006306634361146,-0.06815751934493464,0.6979166666666666
split_00_2018-12,42,pennylane_qnn,44,24,0.36111111111111116,0.4166666666666667,0.4166666666666667,0.16666666666666666,-0.2545454545454546,0.005910055586385675,-0.00041292035949072473,1.6116817548729268,-0.07143323390085154,0.5520833333333333
split_01_2019-01,42,naive_momentum,44,24,0.46527777777777773,0.4166666666666667,0.4166666666666667,0.25,-0.02727272727272729,0.003982932616911311,-0.002340043328965089,1.4070054931563105,-0.05811371490448769,0.3020833333333333
split_01_2019-01,42,logistic_regression,44,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.25,0.14545454545454545,0.005368544140275713,-0.0009544318056006869,1.4048446803585029,-0.07797322912059879,0.71875
split_01_2019-01,42,ridge_linear,44,24,0.576388888888889,0.5833333333333334,0.5833333333333334,0.25,0.12727272727272726,0.005368544140275713,-0.0009544318056006869,1.4048446803585029,-0.07797322912059879,0.71875
split_01_2019-01,42,random_forest,44,24,0.39583333333333337,0.5,0.5,0.41666666666666663,-0.05909090909090911,0.002488166628075603,-0.0038348093178007968,0.7401881272556602,-0.07229706025372973,0.6770833333333333
