model,roc_auc_mean,roc_auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,precision_at_3_mean,precision_at_3_std,rank_ic_mean,rank_ic_std,portfolio_net_return_mean_mean,portfolio_net_return_mean_std,portfolio_alpha_mean_mean,portfolio_alpha_mean_std,portfolio_sharpe_mean,portfolio_sharpe_std,portfolio_max_drawdown_mean,portfolio_max_drawdown_std,portfolio_turnover_mean_mean,portfolio_turnover_mean_std
logistic_regression,0.48958333333333337,0.09910543809540577,0.5,0.11785113019775785,0.5,0.11785113019775785,0.22916666666666666,0.0416666666666667,0.06818181818181823,0.2043180554150686,0.0059367623050014,0.0,-0.0003862136408749,0.0,1.5892157990295597,0.0,-0.0779732291205987,0.0,0.71875,0.0
naive_momentum,0.4427083333333333,0.14471295822343552,0.4375,0.10485881160098266,0.4375,0.10485881160098266,0.29166666666666663,0.08333333333333329,-0.05397727272727269,0.13887057960125274,0.0039829326169113,0.0,-0.002340043328965,0.0,1.4070054931563103,0.0,-0.0581137149044876,0.0,0.3020833333333333,0.0
pennylane_qnn,0.4548611111111111,0.04299577690047846,0.5,0.06804138174397717,0.5,0.06804138174397717,0.27083333333333326,0.12499999999999999,-0.049431818181818174,0.05411366340854323,0.0057653264084076,0.0,-0.0005576495374687,0.0,1.6848455477660071,0.0,-0.0723005264813944,0.0,0.65625,0.0
random_forest,0.4947916666666667,0.13434404251495208,0.4583333333333333,0.14433756729740643,0.4583333333333333,0.14433756729740643,0.29166666666666663,0.08333333333333329,-0.038603970104090175,0.18875307488793422,0.004361109275001,0.0,-0.0019618666708753,0.0,1.1200983467012169,0.0,-0.0782895769951834,0.0,0.71875,0.0
rbf_svm,0.5121527777777777,0.06298040676117035,0.5416666666666667,0.048112522432468816,0.5416666666666667,0.048112522432468816,0.29166666666666663,0.1075828707279838,0.0653409090909091,0.08865335889901256,0.0061792975924512,0.0,-0.0001436783534251,0.0,1.5430535714398623,0.0,-0.0827340977412505,0.0,0.6770833333333333,0.0
ridge_linear,0.4947916666666667,0.10101322464656766,0.5,0.11785113019775785,0.5,0.11785113019775785,0.24999999999999997,0.06804138174397718,0.07102272727272729,0.21437151879768296,0.00661733793295,0.0,0.0002943619870736,0.0,1.7471964103200293,0.0,-0.0779732291205987,0.0,0.6770833333333333,0.0
small_mlp,0.47048611111111116,0.1064374405702431,0.5,0.06804138174397717,0.5,0.06804138174397717,0.2708333333333333,0.1423187606383277,-0.08693181818181814,0.08431328091613426,0.0047077324718807,0.0,-0.0016152434739956,0.0,1.2894508167266192,0.0,-0.0779732291205987,0.0,0.5520833333333333,0.0
xgboost,0.5,0.11740698752699781,0.5208333333333333,0.1048588116009826,0.5208333333333333,0.1048588116009826,0.3333333333333333,0.11785113019775789,-0.01753516831914298,0.17903698103422738,0.0067510291438307,0.0,0.0004280531979543,0.0,1.9680833699152704,0.0,-0.0669096153346523,0.0,0.78125,0.0
