model,gross_return_mean,gross_return_std,net_return_mean,net_return_std,alpha_vs_spy_mean,alpha_vs_spy_std,turnover_mean,turnover_std,transaction_cost_mean,transaction_cost_std
equal_weight_sector,0.005703676605770612,0.023274437114835667,0.005688051605770612,0.02328694919420549,-0.0006349243401057562,0.0035600781310922355,0.03125000000000001,0.12500000000000003,1.5625e-05,6.25e-05
logistic_regression,0.006296137305001431,0.026554394872639393,0.005936762305001437,0.02652052123151611,-0.00038621364087495,0.005562510538764226,0.71875,0.25617376914899,0.0003593749999999375,0.00012808688457447386
naive_momentum,0.0041339742835779635,0.02012699653777102,0.0039829326169112875,0.020096592867876687,-0.002340043328965094,0.0097344478564913,0.3020833333333333,0.2127313555393977,0.00015104166666662501,0.00010636567776968533
pennylane_qnn,0.006093451408407637,0.024368264545439354,0.005765326408407631,0.024292883857259834,-0.0005576495374687439,0.008134960233752844,0.65625,0.32471497473140165,0.0003281249999999375,0.00016235748736567588
random_forest,0.0047204842750010745,0.027656736479624237,0.004361109275001063,0.02764114828635245,-0.0019618666708752937,0.008518516199332938,0.71875,0.22541114698520387,0.0003593749999999438,0.00011270557349257966
rbf_svm,0.006517839259117869,0.02841287637316468,0.006179297592451211,0.028429771904557515,-0.00014367835342518105,0.010454796855507572,0.6770833333333333,0.2884745960957266,0.0003385416666666125,0.00014423729804783714
ridge_linear,0.006955879599616662,0.026918403926394868,0.0066173379329500055,0.026887898073847102,0.0002943619870736125,0.005655906681501503,0.6770833333333334,0.231490740555563,0.0003385416666666125,0.0001157453702777649
small_mlp,0.004983774138547406,0.025971028847332392,0.004707732471880737,0.025919239918127262,-0.0016152434739956376,0.005664157751277523,0.5520833333333333,0.3145764348029479,0.00027604166666660623,0.0001572882174014552
spy_benchmark,0.006322975945876368,0.025177235085234326,0.006322975945876368,0.025177235085234326,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,0.007141654143830732,0.024367322380595555,0.006751029143830736,0.024352399482743165,0.000428053197954356,0.007714602882380772,0.78125,0.24883990093290165,0.0003906249999999313,0.00012441995046642506
