split_id,seed,date,model,selected_tickers,gross_return,turnover,transaction_cost,net_return,spy_return,equal_weight_sector_return,alpha_vs_spy
split_00_2018-12,42,2018-12-07,logistic_regression,"XLK,XLV,XLY",-0.0093977965690212,0.5,0.00025,-0.0096477965690212,-0.011761607019034599,-0.011656528726261663,0.0021138104500133988
split_00_2018-12,42,2018-12-14,logistic_regression,"XLV,XLK,XLE",-0.0778065624539321,0.3333333333333333,0.00016666666666666666,-0.07797322912059876,-0.07050486637706378,-0.06756340453397142,-0.007468362743534976
split_00_2018-12,42,2018-12-21,logistic_regression,"XLC,XLK,XLRE",0.028500087939915833,0.6666666666666666,0.0003333333333333333,0.028166754606582498,0.0383049320970712,0.02952126258271116,-0.0101381774904887
split_00_2018-12,42,2018-12-31,logistic_regression,"XLU,XLC,XLRE",0.029621073603270393,0.3333333333333333,0.00016666666666666666,0.029454406936603728,0.027408717255966896,0.029550020017187914,0.0020456896806368315
split_01_2019-01,42,2019-01-08,logistic_regression,"XLK,XLV,XLE",0.0172325317377683,0.9999999999999999,0.0004999999999999999,0.0167325317377683,0.013942372102878799,0.0108129873760817,0.0027901596348895007
split_01_2019-01,42,2019-01-15,logistic_regression,"XLB,XLE,XLP",0.008739513618592168,0.6666666666666666,0.0003333333333333333,0.008406180285258835,0.0117536491596008,0.010949262134819518,-0.0033474688743419644
split_01_2019-01,42,2019-01-23,logistic_regression,"XLC,XLB,XLRE",0.028881684091442695,0.6666666666666666,0.0003333333333333333,0.02854835075810936,0.015830433981718496,0.018660358097054356,0.012717916776390864
split_01_2019-01,42,2019-01-30,logistic_regression,"XLU,XLP,XLF",0.015177747691208901,0.9999999999999999,0.0004999999999999999,0.0146777476912089,0.019284301098349395,0.01610448845086916,-0.004606553407140494
split_02_2019-02,42,2019-02-06,logistic_regression,"XLC,XLRE,XLE",0.004259581999184533,0.9999999999999999,0.0004999999999999999,0.003759581999184533,0.008249428051798098,0.009601847150979236,-0.004489846052613565
split_02_2019-02,42,2019-02-13,logistic_regression,"XLU,XLF,XLV",0.0118717760585783,0.9999999999999999,0.0004999999999999999,0.0113717760585783,0.008836681840848,0.009971613950503827,0.0025350942177303007
split_02_2019-02,42,2019-02-21,logistic_regression,"XLC,XLY,XLB",-0.0018007985580738666,0.9999999999999999,0.0004999999999999999,-0.0023007985580738664,0.004541877835684,0.0007497802364594086,-0.006842676393757866
split_02_2019-02,42,2019-02-28,logistic_regression,"XLY,XLK,XLE",-0.008701967838430066,0.6666666666666666,0.0003333333333333333,-0.0090353011717634,-0.0131694072738053,-0.009029321814569446,0.004134106102041901
split_03_2019-03,42,2019-03-07,logistic_regression,"XLC,XLV,XLF",0.0231123098036306,0.9999999999999999,0.0004999999999999999,0.0226123098036306,0.022363074653348698,0.019732866206473607,0.00024923515028190193
split_03_2019-03,42,2019-03-14,logistic_regression,"XLI,XLY,XLC",0.0188189027957431,0.6666666666666666,0.0003333333333333333,0.018485569462409764,0.017158149332785002,0.014151914040809111,0.0013274201296247616
split_03_2019-03,42,2019-03-21,logistic_regression,"XLV,XLF,XLI",-0.013125968660616332,0.6666666666666666,0.0003333333333333333,-0.013459301993949666,-0.014118565299435303,-0.010078850697697527,0.000659263305485637
split_03_2019-03,42,2019-03-28,logistic_regression,"XLF,XLV,XLC",0.025356081620761865,0.3333333333333333,0.00016666666666666666,0.0251894149540952,0.023048443693311996,0.019780531220881057,0.0021409712607832025
split_00_2018-12,42,2018-12-07,naive_momentum,"XLU,XLRE,XLV",-0.009064124065913766,0.5,0.00025,-0.009314124065913766,-0.011761607019034599,-0.011656528726261663,0.002447482953120833
split_00_2018-12,42,2018-12-14,naive_momentum,"XLU,XLRE,XLV",-0.058113714904487725,0.0,0.0,-0.058113714904487725,-0.07050486637706378,-0.06756340453397142,0.012391151472576058
split_00_2018-12,42,2018-12-21,naive_momentum,"XLU,XLRE,XLV",0.010466395244772733,0.0,0.0,0.010466395244772733,0.0383049320970712,0.02952126258271116,-0.027838536852298465
split_00_2018-12,42,2018-12-31,naive_momentum,"XLU,XLRE,XLB",0.016453437802105935,0.3333333333333333,0.00016666666666666666,0.01628677113543927,0.027408717255966896,0.029550020017187914,-0.011121946120527627
split_01_2019-01,42,2019-01-08,naive_momentum,"XLC,XLY,XLB",0.002779069538292333,0.6666666666666666,0.0003333333333333333,0.0024457362049589994,0.013942372102878799,0.0108129873760817,-0.011496635897919799
split_01_2019-01,42,2019-01-15,naive_momentum,"XLF,XLY,XLC",0.0071387718542489,0.3333333333333333,0.00016666666666666666,0.006972105187582234,0.0117536491596008,0.010949262134819518,-0.0047815439720185655
split_01_2019-01,42,2019-01-23,naive_momentum,"XLF,XLY,XLI",0.023450772726532898,0.3333333333333333,0.00016666666666666666,0.023284106059866232,0.015830433981718496,0.018660358097054356,0.007453672078147736
split_01_2019-01,42,2019-01-30,naive_momentum,"XLI,XLE,XLRE",0.0188597708020002,0.6666666666666666,0.0003333333333333333,0.018526437468666865,0.019284301098349395,0.01610448845086916,-0.0007578636296825293
split_02_2019-02,42,2019-02-06,naive_momentum,"XLI,XLK,XLRE",0.012858429426893499,0.3333333333333333,0.00016666666666666666,0.012691762760226832,0.008249428051798098,0.009601847150979236,0.004442334708428733
split_02_2019-02,42,2019-02-13,naive_momentum,"XLI,XLK,XLRE",0.008959386251814734,0.0,0.0,0.008959386251814734,0.008836681840848,0.009971613950503827,0.00012270441096673412
split_02_2019-02,42,2019-02-21,naive_momentum,"XLI,XLK,XLRE",0.006454045515802032,0.0,0.0,0.006454045515802032,0.004541877835684,0.0007497802364594086,0.0019121676801180324
split_02_2019-02,42,2019-02-28,naive_momentum,"XLI,XLK,XLU",-0.011287967813947036,0.3333333333333333,0.00016666666666666666,-0.011454634480613703,-0.0131694072738053,-0.009029321814569446,0.0017147727931915973
split_03_2019-03,42,2019-03-07,naive_momentum,"XLU,XLB,XLK",0.023913242427666567,0.3333333333333333,0.00016666666666666666,0.0237465757609999,0.022363074653348698,0.019732866206473607,0.0013835011076512027
split_03_2019-03,42,2019-03-14,naive_momentum,"XLU,XLK,XLRE",0.0176664686076751,0.3333333333333333,0.00016666666666666666,0.017499801941008433,0.017158149332785002,0.014151914040809111,0.00034165260822343127
split_03_2019-03,42,2019-03-21,naive_momentum,"XLK,XLC,XLRE",-0.013096337538065966,0.3333333333333333,0.00016666666666666666,-0.013263004204732634,-0.014118565299435303,-0.010078850697697527,0.0008555610947026688
split_03_2019-03,42,2019-03-28,naive_momentum,"XLRE,XLK,XLP",0.0087059426618572,0.3333333333333333,0.00016666666666666666,0.008539275995190533,0.023048443693311996,0.019780531220881057,-0.014509167698121463
split_00_2018-12,42,2018-12-07,pennylane_qnn,"XLP,XLV,XLC",-0.005616505172089167,0.5,0.00025,-0.005866505172089167,-0.011761607019034599,-0.011656528726261663,0.005895101846945432
split_00_2018-12,42,2018-12-14,pennylane_qnn,"XLP,XLK,XLV",-0.07213385981472774,0.3333333333333333,0.00016666666666666666,-0.0723005264813944,-0.07050486637706378,-0.06756340453397142,-0.001795660104330618
split_00_2018-12,42,2018-12-21,pennylane_qnn,"XLE,XLK,XLC",0.03532812779489503,0.6666666666666666,0.0003333333333333333,0.0349947944615617,0.0383049320970712,0.02952126258271116,-0.003310137635509497
split_00_2018-12,42,2018-12-31,pennylane_qnn,"XLRE,XLB,XLP",0.021348306600500164,0.9999999999999999,0.0004999999999999999,0.020848306600500164,0.027408717255966896,0.029550020017187914,-0.006560410655466732
split_01_2019-01,42,2019-01-08,pennylane_qnn,"XLI,XLF,XLY",0.015324076414556832,0.9999999999999999,0.0004999999999999999,0.014824076414556832,0.013942372102878799,0.0108129873760817,0.0008817043116780329
split_01_2019-01,42,2019-01-15,pennylane_qnn,"XLI,XLF,XLK",0.020086312048978934,0.3333333333333333,0.00016666666666666666,0.01991964538231227,0.0117536491596008,0.010949262134819518,0.008165996222711469
split_01_2019-01,42,2019-01-23,pennylane_qnn,"XLE,XLY,XLI",0.0286249135440948,0.6666666666666666,0.0003333333333333333,0.028291580210761464,0.015830433981718496,0.018660358097054356,0.012461146229042968
split_01_2019-01,42,2019-01-30,pennylane_qnn,"XLY,XLF,XLK",0.014038661896697134,0.6666666666666666,0.0003333333333333333,0.013705328563363801,0.019284301098349395,0.01610448845086916,-0.005578972534985594
split_02_2019-02,42,2019-02-06,pennylane_qnn,"XLF,XLC,XLP",0.0068397048040636,0.6666666666666666,0.0003333333333333333,0.006506371470730267,0.008249428051798098,0.009601847150979236,-0.0017430565810678316
split_02_2019-02,42,2019-02-13,pennylane_qnn,"XLB,XLE,XLU",0.019480018761737532,0.9999999999999999,0.0004999999999999999,0.018980018761737532,0.008836681840848,0.009971613950503827,0.010143336920889532
split_02_2019-02,42,2019-02-21,pennylane_qnn,"XLE,XLB,XLU",-0.002745185669425666,0.0,0.0,-0.002745185669425666,0.004541877835684,0.0007497802364594086,-0.007287063505109666
split_02_2019-02,42,2019-02-28,pennylane_qnn,"XLE,XLV,XLU",-0.006168345398625566,0.3333333333333333,0.00016666666666666666,-0.006335012065292233,-0.0131694072738053,-0.009029321814569446,0.006834395208513068
split_03_2019-03,42,2019-03-07,pennylane_qnn,"XLI,XLF,XLY",0.012221635525398967,0.9999999999999999,0.0004999999999999999,0.011721635525398967,0.022363074653348698,0.019732866206473607,-0.010641439127949731
split_03_2019-03,42,2019-03-14,pennylane_qnn,"XLRE,XLU,XLE",0.012846222400754335,0.9999999999999999,0.0004999999999999999,0.012346222400754335,0.017158149332785002,0.014151914040809111,-0.004811926932030667
split_03_2019-03,42,2019-03-21,pennylane_qnn,"XLE,XLB,XLRE",-0.008724272530802801,0.3333333333333333,0.00016666666666666666,-0.008890939197469468,-0.014118565299435303,-0.010078850697697527,0.005227626101965834
split_03_2019-03,42,2019-03-28,pennylane_qnn,"XLY,XLU,XLP",0.006745411328515967,0.9999999999999999,0.0004999999999999999,0.006245411328515967,0.023048443693311996,0.019780531220881057,-0.01680303236479603
split_00_2018-12,42,2018-12-07,random_forest,"XLC,XLI,XLF",-0.014737929375330134,0.5,0.00025,-0.014987929375330134,-0.011761607019034599,-0.011656528726261663,-0.003226322356295535
split_00_2018-12,42,2018-12-14,random_forest,"XLI,XLE,XLY",-0.07795624366185017,0.6666666666666666,0.0003333333333333333,-0.0782895769951835,-0.07050486637706378,-0.06756340453397142,-0.007784710618119722
split_00_2018-12,42,2018-12-21,random_forest,"XLI,XLF,XLY",0.045295855138855805,0.3333333333333333,0.00016666666666666666,0.045129188472189136,0.0383049320970712,0.02952126258271116,0.0068242563751179375
split_00_2018-12,42,2018-12-31,random_forest,"XLC,XLK,XLU",0.026987651193336164,0.9999999999999999,0.0004999999999999999,0.026487651193336164,0.027408717255966896,0.029550020017187914,-0.0009210660626307321
split_01_2019-01,42,2019-01-08,random_forest,"XLU,XLF,XLK",0.012588249708732999,0.3333333333333333,0.00016666666666666666,0.012421583042066331,0.013942372102878799,0.0108129873760817,-0.0015207890608124677
split_01_2019-01,42,2019-01-15,random_forest,"XLI,XLE,XLRE",0.0084472718134015,0.9999999999999999,0.0004999999999999999,0.0079472718134015,0.0117536491596008,0.010949262134819518,-0.0038063773461993
split_01_2019-01,42,2019-01-23,random_forest,"XLE,XLF,XLV",0.011614371036009168,0.6666666666666666,0.0003333333333333333,0.011281037702675835,0.015830433981718496,0.018660358097054356,-0.004549396279042661
split_01_2019-01,42,2019-01-30,random_forest,"XLB,XLRE,XLF",-0.00035193940946496677,0.6666666666666666,0.0003333333333333333,-0.0006852727427983001,0.019284301098349395,0.01610448845086916,-0.019969573841147694
split_02_2019-02,42,2019-02-06,random_forest,"XLC,XLP,XLF",0.0068397048040636,0.6666666666666666,0.0003333333333333333,0.006506371470730267,0.008249428051798098,0.009601847150979236,-0.0017430565810678316
split_02_2019-02,42,2019-02-13,random_forest,"XLE,XLB,XLC",0.011831655917007166,0.6666666666666666,0.0003333333333333333,0.011498322583673833,0.008836681840848,0.009971613950503827,0.0026616407428258337
split_02_2019-02,42,2019-02-21,random_forest,"XLF,XLB,XLP",-0.004822483209452467,0.6666666666666666,0.0003333333333333333,-0.0051558165427858,0.004541877835684,0.0007497802364594086,-0.0096976943784698
split_02_2019-02,42,2019-02-28,random_forest,"XLRE,XLF,XLV",-0.013511391585550134,0.6666666666666666,0.0003333333333333333,-0.013844724918883467,-0.0131694072738053,-0.009029321814569446,-0.0006753176450781662
