split_id,seed,selected_feature,selected_for_model,feature_selection_mode,train_mean,train_std,mean_cross_sectional_std_by_date,mean_time_series_std_by_ticker,cross_sectional_to_time_series_variance_ratio,missing_rate,is_calendar_heavy
split_00_2018-12,42,ret_1d,learned_models,cross_sectional_aware,-0.000863498097702179,0.010764055407448172,0.0065551366608896065,0.010710572421820282,0.3745744377042185,0.0,False
split_00_2018-12,42,ret_20d,learned_models,cross_sectional_aware,0.003091415440186244,0.035242082321554784,0.026319037658526043,0.03348474763109853,0.6177972215776363,0.0,False
split_00_2018-12,42,volume_ratio_20d,learned_models,cross_sectional_aware,1.0585455888029862,0.4738006988672565,0.2793963248941475,0.4765398661116468,0.34375015408640586,0.0,False
split_00_2018-12,42,relative_strength_20d,learned_models,cross_sectional_aware,-0.003329548782110273,0.02783753603309757,0.02631903765852604,0.024385048690093246,1.1649110283185116,0.0,False
split_00_2018-12,42,relative_strength_20d,naive_momentum,fixed_naive,-0.003329548782110273,0.02783753603309757,0.02631903765852604,0.024385048690093246,1.1649110283185116,0.0,False
split_01_2019-01,42,ret_1d,learned_models,cross_sectional_aware,-0.0007662158191796715,0.012111952578871916,0.007119313006651912,0.012130393196464457,0.3444501817128702,0.0,False
split_01_2019-01,42,volume_ratio_5d,learned_models,cross_sectional_aware,1.0171189464908699,0.3094852518249862,0.19530710222237793,0.31216598436183013,0.39143974276237964,0.0,False
split_01_2019-01,42,volume_ratio_20d,learned_models,cross_sectional_aware,1.0531143153989169,0.462426514743007,0.27129759776599205,0.4653684364939654,0.3398584313003146,0.0,False
split_01_2019-01,42,relative_strength_20d,learned_models,cross_sectional_aware,-0.002272986307245093,0.030812520956763442,0.02825636624592339,0.02719957403060407,1.0792161029639469,0.0,False
split_01_2019-01,42,relative_strength_20d,naive_momentum,fixed_naive,-0.002272986307245093,0.030812520956763442,0.02825636624592339,0.02719957403060407,1.0792161029639469,0.0,False
split_02_2019-02,42,ret_1d,learned_models,cross_sectional_aware,-0.0012052210002222153,0.012136116206214109,0.007161314826057757,0.012086200370945462,0.3510798898317114,0.0,False
split_02_2019-02,42,volume_ratio_5d,learned_models,cross_sectional_aware,1.0160926197721705,0.3013517361091188,0.19130628290165036,0.30309254869675645,0.39838955856246283,0.0,False
split_02_2019-02,42,volume_ratio_20d,learned_models,cross_sectional_aware,1.041720592676779,0.44741147083046706,0.2607035047880997,0.44826755539700314,0.33823545188061804,0.0,False
split_02_2019-02,42,relative_strength_20d,learned_models,cross_sectional_aware,-0.0011164586756589171,0.03164478264195007,0.028939678916086484,0.028132273223401064,1.0582243811936343,0.0,False
split_02_2019-02,42,relative_strength_20d,naive_momentum,fixed_naive,-0.0011164586756589171,0.03164478264195007,0.028939678916086484,0.028132273223401064,1.0582243811936343,0.0,False
split_03_2019-03,42,ret_1d,learned_models,cross_sectional_aware,-0.00140097833349238,0.012346461686435778,0.007118580621005285,0.01226335117006977,0.3369523474976246,0.0,False
split_03_2019-03,42,volume_ratio_5d,learned_models,cross_sectional_aware,1.0120813681545004,0.29742003264039796,0.1911959230537722,0.29860679855256533,0.4099754697388579,0.0,False
split_03_2019-03,42,volume_ratio_20d,learned_models,cross_sectional_aware,1.0455217826881273,0.45046295247204604,0.25877706055247296,0.44878704219911864,0.33248413927269316,0.0,False
split_03_2019-03,42,relative_strength_20d,learned_models,cross_sectional_aware,-0.0008004347424295182,0.0315259985360646,0.028985257947287398,0.0280843278727652,1.0651880118936083,0.0,False
split_03_2019-03,42,relative_strength_20d,naive_momentum,fixed_naive,-0.0008004347424295182,0.0315259985360646,0.028985257947287398,0.0280843278727652,1.0651880118936083,0.0,False
