split_id,seed,model,rows,labeled_rows,roc_auc,balanced_accuracy,f1,precision_at_3,rank_ic,portfolio_net_return_mean,portfolio_alpha_mean,portfolio_sharpe,portfolio_max_drawdown,portfolio_turnover_mean
split_00_2018-12,42,naive_momentum,44,24,0.3819444444444444,0.3333333333333333,0.3333333333333333,0.25,-0.10454545454545455,0.003982932616911311,-0.002340043328965089,1.4070054931563105,-0.05811371490448769,0.3020833333333333
split_00_2018-12,42,logistic_regression,44,24,0.4861111111111111,0.5,0.5,0.25,-0.12272727272727274,0.005936762305001446,-0.00038621364087495407,1.5892157990295597,-0.07797322912059879,0.71875
split_00_2018-12,42,ridge_linear,44,24,0.4861111111111111,0.5,0.5,0.25,-0.12272727272727274,0.006617337932950014,0.0002943619870736146,1.7471964103200293,-0.07797322912059879,0.6770833333333333
split_00_2018-12,42,random_forest,44,24,0.40277777777777785,0.4166666666666667,0.4166666666666667,0.25,-0.106688607689088,0.004361109275001085,-0.001961866670875314,1.1200983467012167,-0.07828957699518346,0.71875
split_00_2018-12,42,rbf_svm,44,24,0.47222222222222215,0.5,0.5,0.25,0.059090909090909104,0.006179297592451225,-0.00014367835342517417,1.5430535714398623,-0.08273409774125051,0.6770833333333333
split_00_2018-12,42,small_mlp,44,24,0.48611111111111116,0.5,0.5,0.25,-0.14545454545454545,0.004707732471880763,-0.0016152434739956367,1.2894508167266192,-0.07797322912059879,0.5520833333333333
split_00_2018-12,42,xgboost,44,24,0.45138888888888884,0.5,0.5,0.25,-0.02821183544730194,0.006751029143830753,0.0004280531979543521,1.9680833699152704,-0.06690961533465234,0.78125
split_00_2018-12,42,pennylane_qnn,44,24,0.4305555555555556,0.5,0.5,0.16666666666666666,-0.08863636363636362,0.005765326408407647,-0.0005576495374687518,1.6848455477660071,-0.0723005264813944,0.65625
split_01_2019-01,42,naive_momentum,44,24,0.46527777777777773,0.4166666666666667,0.4166666666666667,0.25,-0.02727272727272729,0.003982932616911311,-0.002340043328965089,1.4070054931563105,-0.05811371490448769,0.3020833333333333
split_01_2019-01,42,logistic_regression,44,24,0.625,0.6666666666666666,0.6666666666666666,0.25,0.2977272727272728,0.005936762305001446,-0.00038621364087495407,1.5892157990295597,-0.07797322912059879,0.71875
split_01_2019-01,42,ridge_linear,44,24,0.6319444444444444,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.31818181818181823,0.006617337932950014,0.0002943619870736146,1.7471964103200293,-0.07797322912059879,0.6770833333333333
split_01_2019-01,42,random_forest,44,24,0.4375,0.4166666666666667,0.4166666666666667,0.25,-0.1431818181818182,0.004361109275001085,-0.001961866670875314,1.1200983467012167,-0.07828957699518346,0.71875
split_01_2019-01,42,rbf_svm,44,24,0.5902777777777778,0.5833333333333334,0.5833333333333334,0.41666666666666663,0.18863636363636366,0.006179297592451225,-0.00014367835342517417,1.5430535714398623,-0.08273409774125051,0.6770833333333333
split_01_2019-01,42,small_mlp,44,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3333333333333333,-0.03636363636363636,0.004707732471880763,-0.0016152434739956367,1.2894508167266192,-0.07797322912059879,0.5520833333333333
split_01_2019-01,42,xgboost,44,24,0.4027777777777778,0.4166666666666667,0.4166666666666667,0.25,-0.18863636363636366,0.006751029143830753,0.0004280531979543521,1.9680833699152704,-0.06690961533465234,0.78125
split_01_2019-01,42,pennylane_qnn,44,24,0.5138888888888888,0.5833333333333334,0.5833333333333334,0.41666666666666663,0.013636363636363669,0.005765326408407647,-0.0005576495374687518,1.6848455477660071,-0.0723005264813944,0.65625
split_02_2019-02,42,naive_momentum,44,24,0.6319444444444445,0.5833333333333334,0.5833333333333334,0.41666666666666663,0.12272727272727271,0.003982932616911311,-0.002340043328965089,1.4070054931563105,-0.05811371490448769,0.3020833333333333
split_02_2019-02,42,logistic_regression,44,24,0.3888888888888889,0.4166666666666667,0.4166666666666667,0.16666666666666666,-0.08409090909090908,0.005936762305001446,-0.00038621364087495407,1.5892157990295597,-0.07797322912059879,0.71875
split_02_2019-02,42,ridge_linear,44,24,0.3888888888888889,0.4166666666666667,0.4166666666666667,0.16666666666666666,-0.09318181818181817,0.006617337932950014,0.0002943619870736146,1.7471964103200293,-0.07797322912059879,0.6770833333333333
split_02_2019-02,42,random_forest,44,24,0.4444444444444445,0.3333333333333333,0.3333333333333333,0.25,-0.14772727272727273,0.004361109275001085,-0.001961866670875314,1.1200983467012167,-0.07828957699518346,0.71875
split_02_2019-02,42,rbf_svm,44,24,0.4513888888888889,0.5,0.5,0.16666666666666666,-0.02045454545454547,0.006179297592451225,-0.00014367835342517417,1.5430535714398623,-0.08273409774125051,0.6770833333333333
split_02_2019-02,42,small_mlp,44,24,0.48611111111111116,0.5,0.5,0.41666666666666663,0.00454545454545454,0.004707732471880763,-0.0016152434739956367,1.2894508167266192,-0.07797322912059879,0.5520833333333333
split_02_2019-02,42,xgboost,44,24,0.4756944444444445,0.5,0.5,0.3333333333333333,-0.08515730269756207,0.006751029143830753,0.0004280531979543521,1.9680833699152704,-0.06690961533465234,0.78125
split_02_2019-02,42,pennylane_qnn,44,24,0.41666666666666674,0.4166666666666667,0.4166666666666667,0.3333333333333333,-0.022727272727272714,0.005765326408407647,-0.0005576495374687518,1.6848455477660071,-0.0723005264813944,0.65625
split_03_2019-03,42,naive_momentum,44,24,0.29166666666666663,0.4166666666666667,0.4166666666666667,0.25,-0.20681818181818185,0.003982932616911311,-0.002340043328965089,1.4070054931563105,-0.05811371490448769,0.3020833333333333
